@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
0.69,7.45,-13.15,2.83,5.32,5.2,-3.28,-22.72,13.63,-6.8,-3.06,-23,8.24,-9.28,7.22,0.07,15.64,49.68,0.17,7.84,walking
-0.97,41,-23.44,37.51,8.56,-14.48,-3.51,0.69,-1.62,5.88,4.35,-15.99,20.8,-17.09,8.96,17.56,-19.43,28.3,-23.06,-27.17,walking
2.93,-48.9,-5.26,-40.71,4.88,-3.37,33.86,-6.3,26.92,-13.29,7.53,73.18,-3.76,80.8,-2.14,3.15,-53.93,22.5,-71.14,16.18,walking
-1.9,20.37,2.42,15.23,17.03,0.27,-105.35,9.11,-113.6,10.64,0.22,-8.01,-34.19,-3.48,-5.6,0.78,106.48,-27.65,115.06,3.6,walking
-2.5,30.21,43.48,-3.76,15.62,8.2,55.22,-1.56,19.31,64.13,8.6,-26.95,-11.27,5.07,-4.25,-10.09,-61.95,3.2,-12.89,-51.48,walking
2.18,-3.82,8.23,11.14,-11.34,0.2,42.68,11.98,62.08,24.44,1.52,7.82,-10.46,8.2,-20.97,-2.83,-35.38,-42.87,-71.36,-46.82,walking
-0.78,-32.95,-8.96,-22.74,-2.32,1.46,2.65,-3.01,10.95,-21.96,-14.45,-8.53,-4.23,-14.47,0.2,1.21,11.94,16.59,25.14,19.54,walking
-5.02,3.23,6.08,5.67,-4.05,2.64,-20.62,13.66,-23.85,-13.48,6.81,-28.66,-2.55,-57.28,29.88,-2.49,25.34,-44.28,29.04,-5.86,walking
-1.48,34.78,0.85,29.39,-1.34,-2.92,4.78,-5.26,11.19,7.9,0.87,-22.78,-1.18,-31.89,9.87,2.98,-39.15,-3.88,-37.45,-20.95,walking
-2.07,-53.59,-13.55,-27,-21.81,-5.05,73.28,-5.8,58.51,-6.14,5.13,60.62,15.26,65.79,11.58,5.73,-101.82,19.68,-100.03,5.92,walking
2.57,-3.27,12.44,6.3,17.15,-1.9,-102.71,-10.88,-123.39,-2.71,-4.49,16.39,-1.7,27.65,-31.36,3.21,90.81,25.94,83.29,5.76,walking
10.89,7.3,-8.17,-1.18,11.45,0.55,23.22,31.99,6.02,56.11,6.35,-32.06,13.49,-11.82,-15.33,-2.89,-36.87,-16.42,31.9,-25.24,walking
-5.37,14.48,-5.47,10.19,-45.22,3.73,72.88,-0.4,68.8,5.32,6.37,-9.24,-14.08,-11.96,-1.88,-4.82,-65.98,0.57,-50.85,7.59,walking
2.89,-25.75,8.3,-39.9,-8.95,3.42,-10.76,-18.65,-10.64,-25.28,-1.77,-3.8,2.48,3.63,1.02,-0.17,46.95,19.61,40.4,25.82,walking
-3.77,-14.69,-5.32,-13.77,6.49,8.55,-10.81,-5.54,-10.83,-12.9,1.85,-19.71,8.55,-12.17,13.09,-6.66,34.3,2.44,29.43,-19.63,walking
-0.59,41.52,-0.89,45.79,-1.4,-3.1,2.95,-0.16,-4.34,-14.6,-1.42,-38.81,8.82,-32.44,25.63,-1.8,-21.66,18.44,-42.03,-0.59,walking
10.32,-31.65,-24.43,-40.23,-1.5,-11.85,-29.68,-9.07,-38.65,-15.08,-7.61,70.41,9.15,100.21,-1.89,10.18,-5.55,4,-4.72,63.94,walking
29.09,-16.77,0.66,-20.43,5,2.57,-39.03,5.9,-25.61,67.24,22.56,-21.04,3.08,-10.44,-47.24,-11.13,34.62,-10.16,70.47,-43.49,walking
3.52,50.59,-11.94,67.4,-28.97,3.48,65.88,4.59,83.2,28.38,3.47,-8.73,7.75,-11.94,-7.67,-5.52,-54.31,-17.19,-84.64,-55.16,walking
1.01,-31.92,9.85,-49.09,-11.21,-0.15,-2.52,-10.82,15.6,-26.63,-2.64,-17.76,0.42,-33.11,-9.89,-0.63,62.48,-6.61,19.1,6.22,walking
-1.51,-4.41,0.64,-12.56,11.52,0.95,-2.95,2.95,-9.96,-13.04,-1.5,-12.98,3.11,-24.55,18.35,-0.95,23.66,-13.9,38.73,2.47,walking
1.56,81.12,111.63,69.43,43.49,-1.47,2.66,-21.41,2.85,-21.43,3.31,-14.49,5.98,-1.18,47.73,-1.03,9.7,-16.92,-34.34,26.63,walking
-0.27,-21.61,-110.12,-32.63,-22.38,-7.06,-44.98,-20.59,-71.25,-28.95,-5.76,75.9,10.32,101.27,7.53,4.8,11.46,29.5,5.04,37.67,walking
-1.24,69.98,43.61,10.21,50.96,7.85,-18.41,3.27,-28.44,-3.56,-0.17,-11.57,-9.96,-13.15,2.86,-10.86,9.31,-47.82,43.17,20.64,walking
-5.16,-6.78,-52.47,1.23,-39.44,-0.5,-9.2,6.08,-14.61,7.76,0.42,6.81,23.62,-7.89,3.7,-0.71,8.04,5.31,5.87,-1.34,walking
3.61,-6.38,-23.26,15.69,-9.27,3.47,-4.81,3.56,-2,19.43,3.84,1.9,14.56,-8.47,-13.86,-1.27,-6.36,6.04,-2.43,-11.86,walking
3.19,-21.49,-2.05,-10.75,-3.87,-1.98,9.31,1.85,6.89,11.66,-1.15,-9.37,-0.53,3.61,4.74,2.24,-12.64,33.84,-17.48,6.67,walking
