@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
-8.28,18.62,-7.23,4.9,-27.65,4.21,52.16,7.02,75.15,9.35,-2.79,-7.17,-20.65,-17.17,-33.42,-5.37,-23.08,-13.22,-51.15,1.09,walking
4.06,-8.82,-4.62,-29.23,12.96,-4.16,-27.58,-12.9,-41,-12.04,5.46,-15.28,10.51,-23.74,-0.65,2.16,51.59,32.45,77.74,-17.3,walking
-5.22,59.74,-22.73,53.61,-1.97,7.5,14.34,2.75,25.42,-6.9,0.02,-49.69,20.97,-54.08,44.06,-7.29,-21.71,5.33,-45.53,-7.73,walking
5.54,-43.39,13.8,-20.82,10.26,-3.37,-41.3,-12.33,-62.47,-29.51,1.68,69.15,-9.64,78.21,5.58,1.71,30.05,28.7,33.05,27.11,walking
0.36,29.46,16.93,46.95,-5.83,0.47,12.36,18.85,3.02,49.36,1.27,3.06,-0.28,-1.63,-4.21,-1.23,-11.17,-6.79,-6.05,-25.91,walking
-3.88,-77.57,10.65,-36.33,-13.53,-13.67,20.54,10.63,62.95,-5.38,-9.07,10.55,-9.4,-44.15,-16.7,15.84,31.26,-14.67,-14.62,11.65,walking
-1.81,37.68,18.57,27.09,16.72,-0.46,-11.77,-3.67,-16.81,-19.98,-6.12,-38.59,30.46,-50.34,47.69,3.15,3.84,-9.07,3.27,-20.39,walking
-1.9,-27.81,13.18,-21.25,18.34,-11.25,-14.69,-17.68,-28.04,-34.24,2.81,73.63,10.73,90.71,0.28,9.62,7.65,30.12,-1.45,23.99,walking
-2.97,-11.78,-8.83,-15.92,-16.25,2.86,-14.85,12.11,-22.85,0.02,-3.83,-14.17,-7.25,-2.22,16.95,2.14,12.85,-36.73,34.95,4.1,walking
4.96,5.59,-20.29,50.36,-19.12,0.63,30.29,3.13,76.76,49.46,2.57,10.63,2.25,-30.49,-42.86,-2.81,-3.93,32.83,-61.02,8.75,walking
3.11,-50.83,-11.72,-42.77,-11.43,1.36,12.49,-5.32,30.98,-21.02,1.34,-29.67,23.42,-17.31,-2.27,0.53,18.93,2.91,-2.56,18.4,walking
5.99,3.7,-0.15,-26.76,20.79,4.88,-15.58,-0.44,-12.22,-11.71,3.96,-13.07,-1.17,-16.61,22.49,-3.84,29.26,10.43,36.3,13.68,walking
2.86,36.43,-2.46,32.63,8.56,3.05,22.96,4.23,34.51,-9.1,2.41,-44.21,-1.38,-25.04,25.01,-1.02,-38.13,-14.48,-71.33,2.3,walking
-0.14,-40.75,-32.12,-31.82,-0.21,1.14,40.27,-2.28,20.74,3.68,5.13,69.91,25.77,90.31,-6.76,-2.5,-53.12,10.19,-51.27,-3.45,walking
1.74,19.51,13.88,30.11,11.98,-3.08,-91.39,-5.22,-104.59,-3,-12.52,-8.1,-16.04,21.75,-9.08,6.21,78.27,11.86,68.36,26.52,walking
-2.17,-10.17,-4.62,5.28,12.28,0.34,-28.45,-20.7,5.27,2.87,1.44,3.71,7.78,-18.3,-13.99,0.63,48.9,40.72,-4.64,40.13,walking
-0.06,71.09,-0.81,77.86,-24.69,2.69,57.94,2.92,59.83,21.16,3.26,-4.15,-4.76,-7.82,-9.01,-4.86,-79.85,-4.6,-53.9,-13.62,walking
0.16,-53.98,-26.17,-58.43,-32.59,10.32,30.3,-4.54,45.27,-14.47,0.53,-18.8,2.04,-6.11,-8.66,-13.32,-36.37,10.79,9.32,32.67,walking
0.06,-38.79,-14.84,-16,16.38,6.4,-1.83,-9.34,-11.26,-22.79,3.62,5.32,2.32,7.05,-9.45,-9.69,6.33,21.78,50.38,-11.72,walking
-5.66,6.05,16.38,-13.13,11.2,2.95,-10.75,-13.55,6.05,-1.08,-3.53,16.68,-18.3,-17.47,45.41,-1.8,31.61,-1.2,0.31,10.89,walking
4.22,9.7,13.72,23.41,-5.77,-2.96,-4.71,15.18,-4.33,4.01,1.36,-44.53,-17.18,-73.49,-0.95,0.97,-16.75,-40.13,-44.9,-10.56,walking
-1.92,4.05,-18.09,13.09,-8.86,2.14,45.95,0.21,44.38,-5.99,-0.17,35.99,22.63,33.68,19.75,-4.48,-76.77,7.38,-87.95,6.26,walking
12.47,5.82,5.41,4.63,12.36,-4.39,-16.98,-6.77,-26.85,-25.21,-6.81,24.43,-2.12,40.69,-20.43,6.17,-26.24,30.21,-3.49,48.36,walking
-8.63,12.26,-8.91,-0.18,-7.01,6.45,-57.86,-0.95,-56.1,6.28,-4.5,-19.18,8.51,-13.73,-11.96,1.9,58.37,13.36,43.92,7.31,walking
0.86,15.89,-23.22,4.07,-5.39,2.48,0.57,4.96,-2.08,1.52,4.46,-13,13.05,-21.4,3.49,2.81,-19.88,0.11,-6.17,-10.7,walking
-1.21,3.04,-5.89,11.49,-3.59,3.03,-13.76,18.39,-16.85,23.38,-3.53,4.49,7.27,22.9,1.57,0.41,44.77,-1.2,16.02,-22.18,walking
-7.07,6.36,21.64,-8.59,1.36,6.85,-3.42,4.48,-8.37,4.87,6.08,-7.25,-12.54,0.86,-12.19,-5.9,3.24,-26.64,17.47,-9.09,walking
1.37,-13.3,4.75,6.19,3.9,0.38,13.97,7.21,2.75,10.89,-2.01,0.99,-15.41,-4.97,-7.66,-3.58,-12.2,-2.44,3.82,-16.91,walking
2.53,51.39,-12.24,39.04,14.38,7.97,23.22,19.89,27.72,25.95,9.23,-25.1,-7.75,3.26,-19.48,-10.88,-26.87,-36.02,-13.2,-33,walking
-3.22,3.22,7.25,-3.87,-11.94,-5.26,26.18,4.88,38.61,-4.27,9.93,15.53,3.72,13.55,-7.38,3.92,-12.27,-15.96,-28.69,1.26,walking
-0.7,-27.39,-10.08,-52.51,-13.33,-4.66,23.1,-3.05,38.9,-0.58,-7.11,3.15,-4.91,-5.62,-15.95,6.6,-8.11,4.42,-11.07,19.03,walking
0.25,-2.03,-4.93,-13.57,11.64,3.85,-22.99,-1.77,9.4,-8.94,4.59,-8.84,-8,14.16,-6.7,-2.24,40.83,-4.09,-5.33,-2.19,walking
4.69,-3.82,3.16,9.54,11.37,-9.34,-18.55,2.38,-16.18,-5.98,4.22,-24.83,2.97,-20.5,5.44,5.63,35.44,-4.22,26.56,0.43,walking
0.53,-5.23,-7.07,-0.31,1.28,-3.38,1.51,12.18,0.74,6.27,1.26,-7.4,1.26,-3.44,2.18,1.22,5.71,-16.38,6.91,-20.41,walking
-1.2,-10.61,9.73,-1.27,10.19,-4.52,28.7,-14.85,24.1,-1.05,0.12,-9.66,-5.4,10.35,-29.57,4.54,-25.23,24.43,-16.8,-15.08,walking
0.28,9.59,12.11,28.45,-0.25,-5.18,-32.08,5.49,-33,3.61,-4.45,-22.5,7.13,-15.56,4.49,3.95,17.78,4.65,6.25,-33.83,walking
5.16,16.08,22.2,17.15,-3.31,0.26,0.77,15.32,10.39,-13.64,-1.3,21.64,-6.71,-3.79,12.11,-0.65,-7.29,-35.71,-19,26.57,walking
-2.81,-0.39,-3.5,12.52,-16.95,-4.36,29.06,3.48,33.56,3.09,-4.05,0.29,12.21,-7.4,12.9,0.92,-16.21,-15.03,-34.59,-7.78,walking
0.71,-17.57,-10.74,-36.51,-2.98,0.12,9.13,12.64,13.25,-8.62,7.57,33.77,-0.48,20.26,16.65,-0.43,-0.86,-36.9,-12.62,13.94,walking
5.84,-32.08,-13.38,-14.14,3.85,-5.24,20.53,-4.95,22.9,4.34,2.37,28.67,1.95,15.75,-6.41,5.1,-27.19,6.62,-35.17,-4.41,walking
-6.3,21.11,-13.05,-2.7,15.1,-3.07,-59.17,1.48,-64.9,-12.07,-2.94,15.62,3.3,0.41,7.15,4.22,32.18,-5.98,50.4,27.51,walking
1.76,2.17,4.91,25.9,-12.51,2.28,32.13,18.36,61.78,58.44,0.86,0.86,-7.35,-19.69,-82.3,-3.42,-5.49,-7.31,-43.38,-17.32,walking
2.39,7.27,5.46,15.58,-7.36,1.84,-30.4,-4.53,-17.12,-38.69,0.16,-60.7,9.1,-94.61,44.48,-2.97,28.49,-16.33,16.83,-5.38,walking
-3.37,-32.4,6.06,-44.81,30.58,3.4,-35.19,-2.12,-54.48,2.09,-2.43,73.29,-7.97,131.08,-10.21,-3.04,25.1,1.63,19.4,20.31,walking
4.23,12.93,-8.2,39.16,-20.96,2.41,54.08,-0.45,92.39,24.12,4.71,0.69,-10.23,-32.47,-61.87,-3.62,-38.14,4.1,-62.93,-7.13,walking
-5.1,-13.45,-7.95,-19.66,-4.97,10.43,8.95,-4.8,3.86,-33.45,3,-23.78,42.22,-31.47,89.04,-12.52,-27.68,2.11,-36.25,-24.18,walking
0.59,23.22,21.82,44.99,24.67,-3.11,-34.73,6.97,-52.41,48.25,-0.83,46.61,-18.38,76.5,-96.41,2.58,38.31,4.47,40.05,-6.69,walking
-1.84,-5.11,-7.82,11.74,-28.18,-3.76,-15.39,-10.31,17.2,-46.09,-1.61,-49.37,8.06,-130.46,50.49,3.27,35.31,-3.56,11.56,-8.07,walking
0.58,-41.84,7.65,-67.59,17.85,-0.4,-32.25,10.5,-53.46,10.42,-3.84,65.27,-12.57,124.5,-21.96,-0.05,20.26,-16.9,16.7,27.22,walking
0.98,-10.39,-4.29,16.77,-18.94,0.9,45.2,-0.96,84.93,11.1,-0.18,-2.78,-4.69,-57.54,-57.79,-1.5,-13.52,1.89,-39.28,8,walking
0.65,169.47,-19.5,12.31,91.06,1.48,-29.94,12.36,-11.31,-79.27,-1.6,89.41,33.78,61.54,106.69,-1.22,-20.87,-2.86,-16.74,25.51,walking
-11.71,-511.45,1387.29,-168.83,-462.82,-4.31,-251.99,-1926.77,-246.14,-657.47,13.37,-380.12,-1577.63,-88.11,-306.68,-1.62,-97.89,245.83,20.91,-70.79,running
1.32,121.63,-39.58,108.5,-193.97,3.67,-109.65,-79.82,-49.27,-18.13,-8.46,-26.38,-51.76,-64.91,-98.75,-3.92,208.06,117.53,92.85,71.68,running
2.89,-37.79,-6.03,-66.84,-8.62,19.66,137.26,-2.62,150.06,32.13,-5.37,68.58,47.73,76.57,-12.15,-16.68,-76.69,69.04,-97.95,12.67,running
-28.42,28.46,17.27,54.81,-50.73,14.23,-84.67,5.56,-53.47,-19.21,11.38,-32.69,0.63,-61.67,20.8,-8.76,10.25,48.64,11.98,-11.67,running
-2.89,11.04,-5.1,15.48,17.65,-21.85,-5.3,17.72,-10.08,17.23,10.33,-23.99,3.73,-28,-9.83,8.55,-12,-3.05,37.56,-27.84,running
1.99,-1.05,11.21,-5.79,0.29,18.09,-89.83,-20.59,-107.49,-40.75,-30.38,20.26,-19.17,26.51,-20.73,-4.31,91.17,-10.07,79.15,11.98,running
-6.58,-40.69,13.89,-79.02,4.22,-17.43,138.2,7.43,146.93,6.37,0.98,16.2,-21.37,51.08,14.46,11.28,-51.43,-3.43,-40.36,15.44,running
-1.2,14.03,-17.15,23.02,-33.32,-14.57,-85.99,14.63,-99.86,21.41,-2.49,10.3,16.73,21.14,35.91,17.33,52.42,19.46,56.5,-19.07,running
-10.26,41,2.53,65.28,4.77,-16.16,90.01,19.91,89.13,-5.19,-15.66,-68.65,6.19,-77.2,-19.58,11.54,-64.06,6.35,-65.66,6.58,running
-0.96,-61.75,17.13,-29.25,5,-7.53,-118.26,6.21,-100.94,-35.35,3.9,10.96,-34.62,0.9,-31.47,7.34,131,-54.89,58.4,15.37,running
5.99,13.6,-0.36,-13.77,5.22,-14.98,-1.49,-31.87,41.52,-69.83,-6.57,-24.88,0.25,33.54,-3.34,12.68,-3.37,69.19,-55.01,41.57,running
-11.78,-2.46,-23.61,-13.62,23.28,-14.81,121.84,-39.88,192.65,-34.86,-6.39,9.07,-20.38,-0.57,2.9,13.55,-61.18,140.63,-189.55,76.59,running
9.12,1.33,-10.63,-21.64,-15.99,1.35,-10.52,17.49,0.06,38.96,-0.19,38.42,3.6,28.17,13.39,10.38,-16.77,-16.1,19.38,-36.44,running
-5.24,15.05,-31.25,-14.6,-18.16,-4.83,-41.11,7.03,-69.31,32.97,6.35,15.46,28.1,48.92,25.62,2.05,-14.45,23.09,37.05,-51.38,running
-12.65,76.07,19.82,75.67,-21.98,-7.94,65.31,-26.87,68.35,15.63,7.13,-38.31,25.83,-99.61,-20.66,1.91,-104.16,6.95,-22.61,-21.94,running
-6.22,-2.97,25.9,11.98,23.28,11.29,-57.55,5.62,-68.23,39.69,12.94,-11.42,-18.5,-28.69,-23.33,-6.61,18.56,9.52,70.67,-38.28,running
-9.46,-19.75,14.44,-26.89,2.04,12.82,-65.35,2.95,-57.25,-46.27,-15.2,31.87,-3.56,-0.02,5.99,-0.83,66.54,0.04,48.95,25.71,running
7.57,-27.74,-24.81,-16.52,-12.48,6.98,122.96,-17.4,187.25,-58.54,-4.64,47.2,1.43,42.61,5.93,-2.84,-30.73,11.83,-78.16,56.8,running
4.11,-14.52,-36.85,6.47,-17.41,13.41,77.88,1.02,32.26,66.59,-13.01,-20.99,-14.41,-14.1,-13.08,-18.04,-94.04,-20.49,-5.11,-65.42,running
6.07,-64.93,-12.54,-55.7,-24.08,-1.74,-60.79,10.73,-63.5,18.39,4.92,44.43,23.36,27.85,39.26,-4.81,43.41,-8.95,33.15,29.58,running
-8.57,67.75,-15.78,55.98,-26.18,-26.99,-57.45,-9.17,-28.97,13.47,26.93,-58.83,14.22,-58.4,41.32,14.71,41.78,52.9,-41.02,31.71,running
13.74,50.07,143.21,-44.11,58.22,0.44,-89.26,-29.21,-94.39,-33.31,19.27,24.33,-7.93,-28.22,-37.5,2.85,133.7,-84.6,92.72,18.84,running
6.59,18.71,-2.69,-10.08,9.91,-14.51,125.95,-11.42,127.12,2.51,-0.17,27.55,-17.5,41.37,-17.18,2.73,-80.3,-54.36,-107.54,-13.75,running
-6.94,-22.84,14.32,-54.15,1.44,14.95,8.11,27.19,9.93,60.51,-22.69,-31.15,-11.54,-11.92,4.22,-7.13,1.24,-0.02,-3.81,-39.86,running
-3.46,-11.1,-35.9,-3.26,-53.55,-13.83,-45.57,23.82,-57.69,17,-2,52.79,13.78,58.3,15.43,22.42,48.57,-36.37,25.99,-50.6,running
3.37,7.2,-11.52,27.99,-41.43,-19.55,-31.42,-53.2,-107.19,10.35,0.19,-42.36,22.5,-42.68,3.21,20.92,34.62,-26.11,76.05,-104.84,running
-0.02,127.19,-10.08,108.9,9.28,19.36,38,11.38,49.27,32.8,-18.24,-49.44,-14.48,-56.73,-21.7,-16.51,-67.17,50.7,-92.41,0.74,running
-1.08,-57.14,1.19,-50.74,16.85,-4.26,-145.33,-3.34,-134.03,-50.51,-9.25,41.07,-1.69,26.35,-1.39,12.73,145.97,-37.44,74.71,1.33,running
4.47,-38.57,-7.06,-33.39,-23.87,2.64,177.99,-24.69,153.46,-13.83,-11.03,59.27,8.23,33.92,13.04,0.48,-7.93,74.81,-91.6,56.99,running
-3.18,-30.15,19.24,-49.17,4.4,15.4,19.79,-5.51,-35.53,15.76,-14.71,-20.23,0.15,24.51,-9.95,-9.1,2.38,-3.98,-17.8,-40.36,running
-2.99,2.57,-6.38,-22.51,-12.53,17.3,-69.11,-7.77,-105.69,9.36,-15.82,27.91,18.51,20.77,-5.41,-12.65,5.82,24.52,78.64,-30.09,running
-5.44,13.11,6.46,12.02,-23.67,3.53,-25.71,4.53,-26.28,-16.52,1.54,-4.37,-9.29,-43.02,25.54,13.44,-20.09,62.05,-17.7,-27.52,running
7.07,36.9,8.41,35.89,-4.65,-7.03,49.05,10.14,31.87,-48.21,-7.11,-45.94,1.82,-27.8,22.72,10.05,-30.49,-25.48,-40.23,27.02,running
23.72,1.53,5.97,14.94,52.47,-3.83,-44.58,31.3,-47.39,-32.61,27.44,-1.43,-1.15,-17.47,-25.2,5.02,72.31,-15.34,56.26,-50.44,running
5.04,3.96,13.07,1.95,-5.36,3.83,-65.79,-39.72,-43.33,-82.91,-7.51,18.86,-10.1,6.99,-9.4,-2.92,40.47,47.24,50.22,75.41,running
0.89,1.24,6.71,-22.51,-8.26,-4,142.91,-6.94,124.97,29.19,-14.5,-10.8,-15.43,10.67,13.2,-1.69,-56.81,19.48,-100.71,-14.51,running
3.25,-7.82,-11.5,-8.55,-19.34,2.53,-53.25,19.4,30.76,42.6,4.87,27.15,-45.4,16.8,-1.45,-14.52,35.84,-48.36,-74.38,17.87,running
11.12,-0.55,-67.09,-24.19,-5.98,16.34,-60.91,-15.19,-73.03,9.68,7.5,7.08,46.9,12.38,41.28,-18.48,45.23,31.67,31.34,34.86,running
-4.62,69.85,19.43,81.35,2.91,1.14,63.47,-25.51,79.43,6.01,2.86,-65.26,14.09,-52.33,-16.18,-1.93,-56.7,-4.8,-92.59,-13.26,running
-7.77,-39.13,7.07,-23.36,45.07,-8.85,-52.08,16.55,-81.09,-10.32,9.29,5.56,-0.42,14.43,-6.21,11.51,49.73,24.75,42.76,-12.99,running
-0.9,-6.38,-7.54,0.43,-0.21,2.31,-50.64,-15.2,-61.12,-23.15,-5.01,29.36,-14.51,33.41,-13.12,1.46,91.52,104.02,8.72,50.77,running
8.26,-30.49,-7.65,-75.63,-35.94,11.93,142.93,-27.58,151.34,5.8,2.74,11.85,-12.82,12.19,14.93,-16.32,-42.69,10.29,-99.47,-21.21,running
0.49,-24.16,22.41,15.87,-61.46,5.51,-114.2,-5.51,-134.71,40.69,12.47,14.17,-27.19,14.12,29.1,1.18,79.66,41.42,-3.04,-17.71,running
4.48,87.76,-35.4,118.07,-1.97,15.96,77.45,8.68,75.5,-37.41,-15.7,-74.16,16.59,-88.45,-5.33,-20.96,-47.19,8.36,-49.18,-8.93,running
7.41,-30.3,28.38,-39.53,29.61,9.69,-96.26,-9.18,-77.41,-7.14,-5.22,45.08,-27.02,26.06,-38.43,-10,59.61,-83.32,138.18,-48.44,running
4.72,-2.21,-21.69,-21.67,-9.99,9.1,-85.69,-36.6,-101.19,-32.79,-14.55,11.15,8.59,22.4,-4.46,-0.33,58.12,27.99,94.56,2.86,running
-11.87,-9.78,-3.11,-16.88,10.79,-13.91,177.54,10.73,176.09,-31.61,5.9,6.67,-11.09,41.97,2.34,15.68,-98.97,-25.48,-30.43,40.01,running
0.68,-18.54,-6.38,-33.93,-0.81,-7.83,1.33,21.86,-17.62,19.38,-4.83,-22.34,21.26,-14.55,16.95,3.72,-19.83,41.39,24.95,26.6,running
3.48,-24.19,10.63,-38.93,-6.95,-7.56,15.9,-2.26,-16.16,-29.68,-10.62,10.29,-1.37,36.56,21.66,8.39,12.24,-38.15,12.34,45.69,running
-3.48,23.02,-9.51,29.26,13.39,6.32,-98.14,19.86,-36.65,8.98,-3.95,-28.25,-8.53,32.37,47.12,-7.42,-6.46,-113.32,37.4,-10.41,running
-10.28,66.9,20.99,31.44,0.11,2.43,24.56,14.11,18.62,30.83,-3.66,-47,-2.56,-30.94,31.97,-1.26,-17.91,-11.1,11.67,-5.46,running
-26.34,47.98,-18.59,39.1,10.76,8.48,43.01,37.61,22.89,-16.86,-4.03,-3.72,2.34,16.91,-8.28,1.59,-50.82,24.87,-26.24,-5.45,running
1.22,-64.31,-13.6,-70.28,24.53,-2.05,-124.25,15.39,-121.44,-9.53,3.91,-9.33,2.65,2.47,-25.22,-2.75,79.68,-45.49,102.09,49.25,running
3.26,-122.44,100.56,67.98,7.18,-4.08,-0.5,-63.25,29.14,-88.93,1.77,55.48,15.78,51.09,-14.94,-2.18,177.23,61.87,9.2,63.36,running
6.71,10.58,6.09,-31.72,-1.24,-12.38,86.55,6.11,105.28,9.67,2.32,-1.9,-29.21,-7.39,23.36,0.3,-16.4,-96.26,53.55,1.06,running
-7.31,13.5,-17.4,19.82,30.16,-34.47,46.85,39.05,16.12,-34.55,-4.64,-9,5.4,-15.75,29.42,24.48,-23.69,31.53,-33,1.05,running
2,22.64,9.2,19.1,-6.31,5.53,12.11,9.82,12.35,8.41,5.62,2.44,11.8,-23.16,-27.01,0.84,-131.39,-21.74,58.63,-60.7,running
-5.38,-34.9,26.49,-47.3,1.06,10.26,-16.8,29.94,-8.34,6.76,1.02,-19.86,-19.58,13.72,7.13,8.05,-8.44,-67.14,-26.51,-13.74,running
-9.67,-6.16,-10.1,5.29,-6.5,-8.19,34.5,11.05,9.75,41.95,-3.01,40.15,34.62,66.79,6.7,-1.16,-18.62,-4.66,41.65,47.23,running
3.73,-5.02,1.37,16.38,-33.72,-11.32,-36.89,-49.81,-80.62,79.84,-6.66,20.97,21.41,69.87,9.41,14.94,44.27,20.22,24.91,-93.53,running
4.05,18.69,10.21,28.05,-33.15,-17.54,-61.51,-48.75,-20.56,-55.37,1.38,-39.87,-6.51,-28.46,10.79,18,-111.23,-18.81,-7.94,89.14,running
0.05,70.09,-9.72,107.01,-11.54,-2.9,88.98,23.41,66.88,-17.27,-8.61,-45.29,-2.93,-45.78,10.93,-1.13,-117.67,-9.99,-33.78,-41.46,running
-0.89,11.15,59.16,-9.55,58.3,1.14,-58.33,-10.38,-50.69,41.62,14.04,8.08,-46.26,-1.61,-13.85,2.74,50.63,-70.78,64.3,-67.76,running
-36.94,-49.39,-95.1,1.09,32.39,1.13,-54.23,-53.54,-201.75,-32.96,-26.08,-15.45,87.6,54.07,-71.9,21.76,-50.28,55.96,114.68,65.33,running
8.91,-20.26,15.45,-46.31,-7.58,13.78,223.58,8.38,261.52,12.16,-18.15,25.69,-27.78,45.24,4.02,-12,-116.68,-34.94,-129.53,16.5,running
0.81,-31.01,-28.99,-36.55,-6.07,3.32,-98.77,3.35,-6.02,62.36,8.28,29.03,9.28,32.87,11.56,4.79,113.64,61.59,-9.26,-27.94,running
0.67,21.84,8.05,28.32,-28.98,-3.7,-48.13,-30.4,-94.12,-48.74,15.02,-27.22,-13.18,-15.28,33.96,-22.02,48.36,6.64,0.96,81.46,running
1.48,40.42,21.77,70.64,43.32,19.59,4.03,11.1,-1.85,1.05,-19.96,-39.83,-0.26,-34.08,-30.08,-9.35,-54.01,-35.16,30.34,-24.52,running
7.74,-55.13,8.95,-57.69,26.69,-1.19,-56.72,-10.93,-77.65,-52.51,-6.54,47.59,-14.03,36.81,-34.69,-23.6,92.44,8.69,94.89,37.52,running
-26.19,-43.54,-22.53,-63.38,-34.75,25.58,45.5,13.42,72.72,16.93,-7.53,26.69,2.4,26.54,36.48,8.59,72.46,53.33,65.68,82.9,running
17.89,82.35,22.8,105.33,8.29,12.82,53.71,-11.23,66.28,12.9,-0.49,-61.72,23.13,-94.84,-3.86,-15.6,-38.08,11.53,-95.81,-85.72,running
-6.34,-32.91,21.07,-35.28,6.41,-8.55,-170.48,-29.67,-157.84,-62.05,2.68,14.09,-23.54,15.53,-32.49,6.11,132.14,41.64,125.74,55.27,running
-15.13,-31.09,-5.97,-39.53,5.52,-23.41,173.57,-1.13,178.94,12.59,6.98,7.22,-6.16,45.23,8.94,17.85,-65.61,-12.43,-161.52,-53.63,running
18.58,-50.41,-11.77,-17.35,-36.98,17.57,-11.96,21.24,-40.78,16.68,-23.46,23.72,24.78,26.25,4.94,-20.22,-28.03,13.29,1.65,15.72,running
1.72,14.39,6.72,35.46,-24.21,-0.18,-49.36,15.47,-69.2,-0.03,-8.65,-1.58,-24.49,-6.27,21.57,3.69,-17.21,-30.98,13.7,-29.77,running
1.96,88.59,-1.12,91.5,13.5,8.35,82.89,-21.94,50.83,-8.33,7.62,-57.32,-6.01,-41.92,11.07,-9.48,-52.26,-2.46,-27.61,-25.81,running
17.65,-85.51,21.45,-87.4,8.79,16.08,-153.54,7.04,-157.8,23.78,1.41,11.32,5.78,11.99,-7.4,-21.01,136.93,4.56,92.64,24.83,running
2.18,1.65,-23.22,-22.77,-8.99,-10.75,101.35,2.31,126.13,-24.25,16.88,33.4,-10.89,32.09,-4.16,7.33,-47.02,-1.05,-20.44,-1.3,running
-1.73,11.66,4.51,18.99,15.86,-5.72,80,9.07,72.16,32.08,9.83,-23.94,-15,-30.8,-10.16,11.17,-61.55,5.83,-40.35,-25.68,running
13.67,-61.79,-33.07,-49,-0.27,4.33,-49.67,-14.5,46.66,31.54,6.64,59.62,18.16,39.31,22.61,1.17,82.75,76.27,-5.92,85.02,running
13.4,-57.37,24.77,5.9,-42.02,-0.71,-71.57,12.22,-59.93,4.47,-10.95,34.34,-9.33,3.8,22.57,6.02,75.25,-17.21,-3.01,8.77,running
-9.08,52.78,-4.28,58.55,-23.14,-11.85,-13.56,-9.59,3.57,-3.56,3.45,-83.27,-5.76,-71.53,-6.26,6.1,-29.26,-40.31,-22.22,-55.98,running
27.98,68.27,19.38,85.33,20.21,20.99,-25.48,26.48,-21.14,4.4,-10.15,-38.58,-32.43,-47.13,-35.38,-30.05,23.73,-35.57,-5.12,-35.17,running
5.14,-36.42,-1.1,-25.12,10.65,2.29,-74.29,-33.98,-70.56,-20.38,16.55,-0.76,25.19,14.64,-13.26,-14.57,39.04,44.73,74.89,8.11,running
-0.84,-30.47,3.89,-55.43,7.79,1.49,138.24,-38.28,108.35,5.84,-10.39,41.7,-35.37,39.51,-14.79,-3.02,-57.6,73.4,4.61,-59.19,running
13.05,-6.44,0.33,-39.46,-22.92,2.33,-12.04,6.08,2.68,46.28,3.28,-32.17,16.5,-37.67,-4.92,-4.1,14.4,-10.69,1.8,-94.48,running
2.28,-10.17,-15.08,2.14,-39.8,2.54,-80.17,-7.36,-101.07,28.65,8.77,60.62,-1.12,57.44,-2.93,0.4,73.85,4.94,22.89,-21.31,running
-16.37,129.04,-18.06,127.27,22.7,-33.09,14.58,-2.82,5.48,-32.24,12.03,-34.39,6.01,-49.09,17.41,29.89,-9.85,18.43,20.35,-15.36,running
3.33,2.25,-8.91,-61.06,7.99,-9.39,-0.09,59.02,6.18,-30.63,1.24,-22.42,-27.16,-37.57,-41.77,13,-76.03,-201.31,-24.37,-9.54,running
-4.31,-38.86,14.62,-74.64,-8.65,-9.48,-69.57,5.36,-40,7.84,1.41,3.61,-30.99,27.85,-10.85,1.42,73.18,-26.58,63.29,-63.7,running
22.66,0.46,22.72,41.46,22.7,0.75,-40.23,0.62,-53.7,-24.84,-10.21,21.14,-21.09,43.38,-21.8,-6.37,24.54,12.78,-3.09,29.03,running
-4.36,-35.21,22.71,-37.99,19.59,6.7,173.7,-28.81,182.32,5.86,27.05,5.77,-11.18,-0.48,-9.5,-10.42,-28.12,21.59,-58.57,-51.18,running
-2.1,27.16,30.93,27.99,9.15,16.37,-1.02,-9.89,-19.15,11.1,-8.16,-19.07,-26.8,-5.95,-31.61,-11.35,-25.98,-2.46,-25.36,-22.64,running
-2.54,-36.25,-18.88,-42.51,-3.71,15.82,-22.74,14.81,-14.8,32.56,-14.03,8.32,4.02,32.32,-12.21,-4.65,47.38,4.84,15.15,-49.53,running
-1.22,0.65,-0.63,-3.91,-16.38,-12.1,-36.22,15.54,-29.37,18.58,9.27,21.55,1.47,44.3,22.79,5.56,2.9,-24.41,22.44,17.59,running
-4.26,-15.1,1.65,0.11,3.31,-14.52,-27.93,10.01,-34.28,-9.34,-2.22,-5.43,-15.13,12.35,19.62,4.66,16.26,-21.85,15.42,45.97,running
-1.04,46.17,-6.94,57.98,-16.13,-15.34,11.97,1.22,-4.04,-13.84,-0.01,-26.62,16.23,-56.03,-0.83,15.93,-21.08,-1.26,-1.55,57.63,running
